mint,fired_conditional,origin_program,origin_name,venue_program,venue_name,venue_kind,pool_venue_program,curated_dex_has_rows,signers_holdout,tx_holdout,moves_before_holdout
AFDeprcxavZvCST9jhUkWayi7jP4aBwsFEPQXC9Qpump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,CURVE,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,false,742,3230,0
5gzq8oEq64WFWWBLXSKd9rv21VEGr393fwKyrCJspump,true,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9,,UNKNOWN,FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9,true,648,2461,0
4qYfHK5NkMi5nxnUYeZ2zLpUnzhFRRwbZqwq5RyYpump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9,,UNKNOWN,FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9,false,4,7,0
8ySJy1H9KNJXx2aL57XwJq6ELj6jdpB6DbyKmkQMpump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,6Vo3245eszAb5wuqEMw8mGdbfRUdKbHhDHP5LcaGuTAB,,UNKNOWN,6Vo3245eszAb5wuqEMw8mGdbfRUdKbHhDHP5LcaGuTAB,false,2,14,0
6nuGeinVtVhW6wAGWgWxsSptodhzQYKxdy5dwXjQpump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,CURVE,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,false,2,3,0
5Ff51fdYJo97frJZoz8nzfow562TVdrg2QjNQJCppump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,CURVE,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,false,3,6,0
42XKU1EUGnA1VcDvycThMAjnZjzMLKuu8gbXZ7G1pump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,CURVE,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,false,39,97,0
5vatgkSWSTzXbvqJpnJPmE166Hb42PuJ5GRUTAzCpump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9,,UNKNOWN,FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9,false,4,8,0
DoKGAmdauiHuc3Z5fvmNTzBnAZjUYpxiMgSCFyi5k5yZ,true,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,token-2022,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,pumpswap,AMM,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,false,2051,9983,0
AR8aUANCSXqNCST3uFbaMfCRMdjXwWNBzSTYZ8vEpump,true,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9,,UNKNOWN,FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9,true,408,1626,0
CFyrqdquNw17nJ7utiBVKZVwJasRLJMyj7m3KtYhjQqG,true,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,token-2022,FLUXubRmkEi2q6K3Y9kBPg9248ggaZVsoSFhtJHSrm1X,,UNKNOWN,FLUXubRmkEi2q6K3Y9kBPg9248ggaZVsoSFhtJHSrm1X,false,22,306,0
F8k7nx6ovWRQV393RVWPyKVNbEUVWF48xuNgcRHSWfhs,true,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,token-2022,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,pumpswap,AMM,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,false,2210,16854,0
EQTf8qe3XrMT4RpEhtaxmgMnjLdLxwS2H2G2J8XQpump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9,,UNKNOWN,FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9,false,2,4,0
DTbZExsrdJoY4bfsYz8wD8MBq6XraH2Whsh4HViu4mPg,true,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN,meteora dbc,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN,meteora dbc,LAUNCHPAD,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN,true,11,305,0
xsPLJ9673NV8oUh2bs1RE9ULy8b6g6Z4rh4VSrgMyfG,true,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN,meteora dbc,cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG,meteora cpamm,AMM,cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG,true,528,1140,0
BvMLiC87c2SSLj5kmzKtkoiGN8ZKmuksDpcYepKEpump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,6Vo3245eszAb5wuqEMw8mGdbfRUdKbHhDHP5LcaGuTAB,,UNKNOWN,6Vo3245eszAb5wuqEMw8mGdbfRUdKbHhDHP5LcaGuTAB,false,2,27,0
CLg7EGY6z4TEZr8K1yMeoV24jVscRg6YBSL9VdnEpump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,CURVE,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,false,8,15,0
GVU4vKwPEcV79nCT3N8cvFdK5f5Hv3q9SBwGc3aCpump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,CURVE,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,false,18,37,0
4RX6xohPqHgysN2f5dXUrxX3z8c4DTTvNMkFA9vrpump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9,,UNKNOWN,FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9,false,3,7,0
