trigger,population,tier_bucket,notional_sol,cost_floor_pct,cost_floor_from_tier,cost_floor_exact,fired_holdout,selectivity_holdout,arrivals_per_day,n_holdout,n_fit,censored_holdout,utc_days_holdout,gross_mean_holdout,gross_mean_fit,sd_holdout,net_mean_holdout,cv_net,required_n,days,decidable_point,holdout_lower,holdout_upper,net_lower_bound,decidable_holdout,censored_fraction,carry_forward_marked,no_mark_at_all,n_carry_forward,carry_forward_mean,net_carry_forward_mean,carry_forward_lower,carry_forward_upper,net_carry_forward_lower,n_residual_zero,residual_zero_mean,net_residual_zero_mean,residual_zero_lower,residual_zero_upper,net_residual_zero_lower,correction_agrees_in_sign
T0,migrated-at-entry,any,0.005,2.7507,0,true,82,0.9761904761904762,77.11904761904762,9,16,73,2,-0.5701560117124783,-0.7052098039050098,0.44223416401381155,-0.5976630117124783,0.7399389879368343,300,4,false,-0.8346118977799897,-0.4379280686787224,-0.8621188977799896,false,0.8902439024390244,1,72,10,-0.5135195808109895,-0.5410265808109894,-0.6269068490093899,-0.4379280686787224,-0.6544138490093898,82,-0.9528220012855159,-0.9803290012855158,-0.9912953630410523,-0.8651027364828936,-1.0188023630410523,true
T0,migrated-at-entry,any,0.01,2.6693,0,true,82,0.9761904761904762,77.11904761904762,9,16,73,2,-0.5701560117124783,-0.7052098039050098,0.44223416401381155,-0.5968490117124783,0.7409481381982252,300,4,false,-0.8346118977799897,-0.4379280686787224,-0.8613048977799896,false,0.8902439024390244,1,72,10,-0.5135195808109895,-0.5402125808109894,-0.6269068490093899,-0.4379280686787224,-0.6535998490093898,82,-0.9528220012855159,-0.9795150012855158,-0.9912953630410523,-0.8651027364828936,-1.0179883630410522,true
T0,migrated-at-entry,any,0.02,2.6878,0,true,82,0.9761904761904762,77.11904761904762,9,16,73,2,-0.5701560117124783,-0.7052098039050098,0.44223416401381155,-0.5970340117124783,0.7407185442339326,300,4,false,-0.8346118977799897,-0.4379280686787224,-0.8614898977799896,false,0.8902439024390244,1,72,10,-0.5135195808109895,-0.5403975808109894,-0.6269068490093899,-0.4379280686787224,-0.6537848490093898,82,-0.9528220012855159,-0.9797000012855158,-0.9912953630410523,-0.8651027364828936,-1.0181733630410523,true
T0,migrated-at-entry,any,0.05,2.8879,0,true,82,0.9761904761904762,77.11904761904762,9,16,73,2,-0.5701560117124783,-0.7052098039050098,0.44223416401381155,-0.5990350117124783,0.7382442684770365,300,4,false,-0.8346118977799897,-0.4379280686787224,-0.8634908977799897,false,0.8902439024390244,1,72,10,-0.5135195808109895,-0.5423985808109895,-0.6269068490093899,-0.4379280686787224,-0.6557858490093899,82,-0.9528220012855159,-0.9817010012855159,-0.9912953630410523,-0.8651027364828936,-1.0201743630410522,true
T0,migrated-at-entry,any,0.1,3.2673,0,true,82,0.9761904761904762,77.11904761904762,9,16,73,2,-0.5701560117124783,-0.7052098039050098,0.44223416401381155,-0.6028290117124783,0.7335980110803574,300,4,false,-0.8346118977799897,-0.4379280686787224,-0.8672848977799896,false,0.8902439024390244,1,72,10,-0.5135195808109895,-0.5461925808109894,-0.6269068490093899,-0.4379280686787224,-0.6595798490093898,82,-0.9528220012855159,-0.9854950012855158,-0.9912953630410523,-0.8651027364828936,-1.0239683630410523,true
T0,migrated-at-entry,any,0.2,4.0347,0,true,82,0.9761904761904762,77.11904761904762,9,16,73,2,-0.5701560117124783,-0.7052098039050098,0.44223416401381155,-0.6105030117124783,0.7243767115469785,300,4,false,-0.8346118977799897,-0.4379280686787224,-0.8749588977799897,false,0.8902439024390244,1,72,10,-0.5135195808109895,-0.5538665808109895,-0.6269068490093899,-0.4379280686787224,-0.6672538490093899,82,-0.9528220012855159,-0.9931690012855159,-0.9912953630410523,-0.8651027364828936,-1.0316423630410523,true
T0,migrated-at-entry,any,0.35,5.1695,0,true,82,0.9761904761904762,77.11904761904762,9,16,73,2,-0.5701560117124783,-0.7052098039050098,0.44223416401381155,-0.6218510117124784,0.7111577462839037,300,4,false,-0.8346118977799897,-0.4379280686787224,-0.8863068977799897,false,0.8902439024390244,1,72,10,-0.5135195808109895,-0.5652145808109895,-0.6269068490093899,-0.4379280686787224,-0.6786018490093899,82,-0.9528220012855159,-1.0045170012855158,-0.9912953630410523,-0.8651027364828936,-1.0429903630410522,true
T0,migrated-at-entry,any,0.5,6.2779,0,true,82,0.9761904761904762,77.11904761904762,9,16,73,2,-0.5701560117124783,-0.7052098039050098,0.44223416401381155,-0.6329350117124783,0.6987039045561664,300,4,false,-0.8346118977799897,-0.4379280686787224,-0.8973908977799897,false,0.8902439024390244,1,72,10,-0.5135195808109895,-0.5762985808109895,-0.6269068490093899,-0.4379280686787224,-0.6896858490093899,82,-0.9528220012855159,-1.015601001285516,-0.9912953630410523,-0.8651027364828936,-1.0540743630410523,true
T0,migrated-at-entry,any,1,9.7614,0,true,82,0.9761904761904762,77.11904761904762,9,16,73,2,-0.5701560117124783,-0.7052098039050098,0.44223416401381155,-0.6677700117124783,0.6622552020263891,300,4,false,-0.8346118977799897,-0.4379280686787224,-0.9322258977799897,false,0.8902439024390244,1,72,10,-0.5135195808109895,-0.6111335808109895,-0.6269068490093899,-0.4379280686787224,-0.7245208490093898,82,-0.9528220012855159,-1.0504360012855158,-0.9912953630410523,-0.8651027364828936,-1.0889093630410522,true
T0,migrated-at-entry,tier0,0.005,2.7507,0,true,69,0.8214285714285714,64.89285714285714,6,11,63,2,-0.5880264970269714,-0.6060206900729853,0.29587761027490345,-0.6155334970269714,0.48068482333454343,300,5,false,-0.591462386850462,-0.570847047909518,-0.618969386850462,false,0.9130434782608695,0,63,6,-0.5880264970269714,-0.6155334970269714,-0.591462386850462,-0.570847047909518,-0.618969386850462,69,-0.9641762171327801,-0.9916832171327801,-0.990670587998033,-0.9111874754022743,-1.018177587998033,true
