cell_id,rank_stat,top_fraction,venue,lag_s,follows,followable,priced,censored,priced_wide,censored_wide,no_entry_price,exit_truncated,as_priced_pct,as_priced_lo_pct,as_priced_hi_pct,censored_pct,as_priced_wide_pct,censored_wide_pct,required_n,c1_lower_bound_above_zero,c2_treatments_agree_in_sign,c3_tradable_venue,c4_powered,copyable,wallet_ret_60m_pct,copier_ret_matched_pct,selection_share,entry_slippage_pct
PC001,MEAN,0.001,pumpswap,2,1941,1461,938,523,1156,305,479,1,-5.1578,-13.0004,3.9912,-39.1089,-7.6726,-26.947,5371,False,True,True,False,False,8.2553,-5.1578,-0.6248,1.9362
PC002,MEAN,0.001,pumpswap,5,1941,1452,936,516,1148,304,488,1,-4.9814,-12.792,4.0947,-38.7483,-7.5981,-26.944,5809,False,True,True,False,False,8.415,-4.9814,-0.592,1.9555
PC003,MEAN,0.001,pumpswap,15,1941,1434,936,498,1140,294,506,1,-7.3064,-14.1338,0.8776,-39.4971,1.0667,-19.6541,2157,False,True,True,False,False,5.6645,-7.3064,-1.2899,2.0157
PC004,MEAN,0.001,pumpswap,30,1941,1400,925,475,1119,281,540,1,-6.3617,-13.6381,2.2865,-38.1318,1.431,-18.9277,3013,False,True,True,False,False,6.8297,-6.3617,-0.9315,1.6208
PC005,MEAN,0.001,pumpswap,60,1941,1380,921,459,1118,262,560,1,-7.1776,-13.9813,0.7494,-38.0511,-12.4759,-29.0928,2152,False,True,True,False,False,6.7061,-7.1776,-1.0703,2.016
PC006,MEAN,0.001,pumpswap,300,1941,1274,913,361,1095,179,666,1,-8.5952,-14.4814,-1.5259,-34.4956,-15.0407,-26.9777,1367,False,True,True,False,False,6.6941,-8.5952,-1.284,8.4371
PC007,MEAN,0.01,pumpswap,2,12595,11494,6182,5312,7768,3726,1083,19,24.4544,9.9166,39.4471,-33.0627,5.4233,-28.7517,443,True,False,True,True,False,33.7253,24.4544,0.7251,2.83
PC008,MEAN,0.01,pumpswap,5,12595,11483,6179,5304,7755,3728,1094,19,24.236,9.9819,38.9708,-33.1486,5.2474,-28.9216,450,True,False,True,True,False,33.6684,24.236,0.7198,3.5382
PC009,MEAN,0.01,pumpswap,15,12595,11436,6171,5265,7733,3703,1141,19,23.3876,8.9865,38.262,-33.4186,6.1883,-28.1957,470,True,False,True,True,False,33.3205,23.3876,0.7019,4.4025
PC010,MEAN,0.01,pumpswap,30,12595,11375,6153,5222,7700,3675,1201,19,22.9972,8.6912,37.7303,-33.468,5.8647,-28.3377,495,True,False,True,True,False,33.4822,22.9972,0.6868,5.4123
PC011,MEAN,0.01,pumpswap,60,12595,11341,6159,5182,7705,3636,1235,19,22.3083,8.5036,36.6022,-33.5776,2.8244,-30.1418,573,True,False,True,True,False,33.2892,22.3083,0.6701,6.5703
PC012,MEAN,0.01,pumpswap,300,12595,10784,6104,4680,7600,3184,1794,19,17.6099,4.9291,30.5357,-33.43,-0.1558,-29.635,968,True,False,True,True,False,33.8782,17.6099,0.5198,12.4916
PC013,MEDIAN,0.001,pumpswap,2,137,134,76,58,99,35,3,0,3.867,-19.2349,35.3353,-41.0904,-17.8935,-39.3392,8239,False,False,True,False,False,11.1259,3.867,0.3476,3.8561
PC014,MEDIAN,0.001,pumpswap,5,137,134,76,58,99,35,3,0,3.6427,-19.407,35.0184,-41.2176,-18.0099,-39.4252,9222,False,False,True,False,False,11.1259,3.6427,0.3274,4.1748
PC015,MEDIAN,0.001,pumpswap,15,137,134,76,58,99,35,3,0,2.4578,-20.4797,33.533,-41.8896,-18.7308,-39.9579,19668,False,False,True,False,False,11.1259,2.4578,0.2209,5.5154
PC016,MEDIAN,0.001,pumpswap,30,137,135,76,59,99,36,2,0,1.2743,-21.6197,32.3336,-42.9863,-19.6133,-41.0498,70736,False,False,True,False,False,11.1259,1.2743,0.1145,6.7379
PC017,MEDIAN,0.001,pumpswap,60,137,133,76,57,99,34,4,0,-0.556,-23.5228,31.2116,-43.1748,-21.0741,-41.2507,353817,False,True,True,False,False,11.1259,-0.556,-0.05,9.0414
PC018,MEDIAN,0.001,pumpswap,300,137,129,76,53,99,30,8,0,-8.4326,-29.6465,22.2282,-46.0533,-24.3151,-41.9163,1202,False,True,True,False,False,11.1259,-8.4326,-0.7579,13.6355
PC019,MEDIAN,0.01,pumpswap,2,4191,3845,2039,1806,2559,1286,341,5,30.5558,11.9415,48.3251,-30.7664,9.4164,-27.1791,300,True,False,True,True,False,39.2353,30.5558,0.7788,3.7132
PC020,MEDIAN,0.01,pumpswap,5,4191,3842,2037,1805,2556,1286,344,5,30.4815,11.5265,48.916,-30.8197,9.3379,-27.2599,300,True,False,True,True,False,39.1996,30.4815,0.7776,4.2044
PC021,MEDIAN,0.01,pumpswap,15,4191,3823,2035,1788,2547,1276,363,5,29.3259,10.3873,47.4927,-31.1592,8.6628,-27.6055,300,True,False,True,True,False,38.7351,29.3259,0.7571,6.3
PC022,MEDIAN,0.01,pumpswap,30,4191,3803,2029,1774,2540,1263,383,5,28.6586,10.3157,45.9573,-31.3573,8.1559,-27.7634,300,True,False,True,True,False,39.3678,28.6586,0.728,8.7693
PC023,MEDIAN,0.01,pumpswap,60,4191,3792,2028,1764,2539,1253,394,5,27.5887,9.1834,44.9317,-31.7643,6.5164,-28.6801,300,True,False,True,True,False,39.3345,27.5887,0.7014,11.7716
PC024,MEDIAN,0.01,pumpswap,300,4191,3598,2011,1587,2499,1099,588,5,17.2192,1.2408,32.5401,-34.4837,-0.211,-30.6913,641,True,False,True,True,False,39.7998,17.2192,0.4326,15.658
PC025,MEAN,0.001,pumpdotfun,2,9799,9183,1424,7759,2487,6696,608,8,34.0607,-3.1324,89.1986,-79.2113,-5.2203,-74.3311,3749,False,False,False,False,False,63.9668,34.0607,0.5325,34.8626
PC026,MEAN,0.001,pumpdotfun,5,9799,9118,1421,7697,2483,6635,673,8,39.2265,-3.9014,108.9536,-78.3022,-1.7993,-73.2581,4507,False,False,False,False,False,64.0873,39.2265,0.6121,36.0927
PC027,MEAN,0.001,pumpdotfun,15,9799,8906,1415,7491,2469,6437,885,8,42.8409,-3.9904,123.2459,-77.3052,1.8204,-71.7725,5255,False,False,False,False,False,63.9633,42.8409,0.6698,38.5443
PC028,MEAN,0.001,pumpdotfun,30,9799,8587,1408,7179,2454,6133,1204,8,44.1125,-3.4205,134.7232,-76.37,4.783,-70.055,5785,False,False,False,False,False,64.5755,44.1125,0.6831,40.8204
PC029,MEAN,0.001,pumpdotfun,60,9799,8001,1401,6600,2440,5561,1791,8,49.422,-4.2506,159.1418,-73.8357,11.0627,-66.1301,6901,False,False,False,False,False,64.4786,49.422,0.7665,41.7895
PC030,MEAN,0.001,pumpdotfun,300,9799,5624,1359,4265,2315,3309,4169,8,54.8429,-4.4947,188.3425,-62.5833,18.412,-51.2582,8284,False,False,False,False,False,68.2942,54.8429,0.803,56.563
