cell_id,rank_stat,top_fraction,venue,lag_s,gate,followable,open,entry_priced,exit_priced,both,open_entry_priced,gate_not_evaluable,kept,coverage_pct,coverage_verdict,reportable,closed_only_pct,closed_only_lo_pct,closed_only_hi_pct,open_at_minus100_pct,required_n,c1,c2,c3,c4,copyable
PD001,MEAN,0.001,pumpswap,2,DEPTH<=1%,2053,796,1462,653,633,590,648,379,30.8329,BELOW_STOP_THRESHOLD,False,13.8072,2.6814,26.4276,,872,True,False,True,False,False
PD002,MEAN,0.001,pumpswap,2,DEPTH<=10%,2053,796,1462,653,633,590,648,555,30.8329,BELOW_STOP_THRESHOLD,False,19.9695,4.4464,41.7005,,1098,True,False,True,False,False
PD003,MEAN,0.001,pumpswap,2,DEPTH<=3%,2053,796,1462,653,633,590,648,482,30.8329,BELOW_STOP_THRESHOLD,False,12.6867,3.1659,22.523,,896,True,False,True,False,False
PD004,MEAN,0.001,pumpswap,2,UNGATED,2053,796,1462,653,633,590,648,633,30.8329,BELOW_STOP_THRESHOLD,False,18.9306,5.2841,37.1442,-38.444,1101,True,False,True,False,False
PD005,MEAN,0.001,pumpswap,5,DEPTH<=1%,2053,796,1453,651,631,586,648,381,30.7355,BELOW_STOP_THRESHOLD,False,17.3027,4.5769,31.5896,,716,True,False,True,False,False
PD006,MEAN,0.001,pumpswap,5,DEPTH<=10%,2053,796,1453,651,631,586,648,557,30.7355,BELOW_STOP_THRESHOLD,False,22.572,6.705,43.1344,,922,True,False,True,False,False
PD007,MEAN,0.001,pumpswap,5,DEPTH<=3%,2053,796,1453,651,631,586,648,484,30.7355,BELOW_STOP_THRESHOLD,False,15.6124,5.2422,26.3216,,748,True,False,True,False,False
PD008,MEAN,0.001,pumpswap,5,UNGATED,2053,796,1453,651,631,586,648,631,30.7355,BELOW_STOP_THRESHOLD,False,21.437,7.1997,40.0571,-37.0363,924,True,False,True,False,False
PD009,MEAN,0.001,pumpswap,15,DEPTH<=1%,2053,796,1435,652,624,586,648,380,30.3945,BELOW_STOP_THRESHOLD,False,15.711,-1.081,37.4388,,1077,False,False,True,False,False
PD010,MEAN,0.001,pumpswap,15,DEPTH<=10%,2053,796,1435,652,624,586,648,551,30.3945,BELOW_STOP_THRESHOLD,False,22.0579,3.1011,45.2956,,1028,True,False,True,False,False
PD011,MEAN,0.001,pumpswap,15,DEPTH<=3%,2053,796,1435,652,624,586,648,481,30.3945,BELOW_STOP_THRESHOLD,False,14.5588,0.9477,30.9037,,1051,True,False,True,False,False
PD012,MEAN,0.001,pumpswap,15,UNGATED,2053,796,1435,652,624,586,648,624,30.3945,BELOW_STOP_THRESHOLD,False,21.1014,4.0932,41.5604,-37.5477,1031,True,False,True,False,False
PD013,MEAN,0.001,pumpswap,30,DEPTH<=1%,2053,796,1401,642,605,582,648,376,29.4691,BELOW_STOP_THRESHOLD,False,13.569,-4.1132,37.3536,,1357,False,False,True,False,False
PD014,MEAN,0.001,pumpswap,30,DEPTH<=10%,2053,796,1401,642,605,582,648,540,29.4691,BELOW_STOP_THRESHOLD,False,21.5944,1.8697,45.8947,,1076,True,False,True,False,False
PD015,MEAN,0.001,pumpswap,30,DEPTH<=3%,2053,796,1401,642,605,582,648,474,29.4691,BELOW_STOP_THRESHOLD,False,13.0621,-0.7907,30.3209,,1233,False,False,True,False,False
PD016,MEAN,0.001,pumpswap,30,UNGATED,2053,796,1401,642,605,582,648,605,29.4691,BELOW_STOP_THRESHOLD,False,22.9614,4.8748,44.5553,-37.328,913,True,False,True,False,False
PD017,MEAN,0.001,pumpswap,60,DEPTH<=1%,2053,796,1381,616,589,575,648,363,28.6897,BELOW_STOP_THRESHOLD,False,14.5918,1.6739,28.0902,,733,True,False,True,False,False
PD018,MEAN,0.001,pumpswap,60,DEPTH<=10%,2053,796,1381,616,589,575,648,533,28.6897,BELOW_STOP_THRESHOLD,False,21.7157,5.8333,43.567,,945,True,False,True,False,False
PD019,MEAN,0.001,pumpswap,60,DEPTH<=3%,2053,796,1381,616,589,575,648,461,28.6897,BELOW_STOP_THRESHOLD,False,13.4135,3.4104,23.2861,,750,True,False,True,False,False
PD020,MEAN,0.001,pumpswap,60,UNGATED,2053,796,1381,616,589,575,648,589,28.6897,BELOW_STOP_THRESHOLD,False,25.8771,8.6946,46.6142,-36.3045,703,True,False,True,False,False
PD021,MEAN,0.001,pumpswap,300,DEPTH<=1%,2053,796,1275,581,544,543,648,334,26.4978,BELOW_STOP_THRESHOLD,False,0.5024,-8.2961,9.9567,,273596,False,False,True,False,False
PD022,MEAN,0.001,pumpswap,300,DEPTH<=10%,2053,796,1275,581,544,543,648,500,26.4978,BELOW_STOP_THRESHOLD,False,13.1232,-2.3902,34.9973,,2137,False,False,True,False,False
PD023,MEAN,0.001,pumpswap,300,DEPTH<=3%,2053,796,1275,581,544,543,648,432,26.4978,BELOW_STOP_THRESHOLD,False,1.6793,-6.5249,10.0733,,23737,False,False,True,False,False
PD024,MEAN,0.001,pumpswap,300,UNGATED,2053,796,1275,581,544,543,648,544,26.4978,BELOW_STOP_THRESHOLD,False,16.1887,1.6107,36.0958,-41.8522,1356,True,False,True,False,False
PD025,MEAN,0.01,pumpswap,2,DEPTH<=1%,12847,3460,11512,8081,7975,2859,1514,3329,62.0767,BELOW_STOP_THRESHOLD,False,6.9776,-5.6524,20.1314,,5178,False,False,True,False,False
PD026,MEAN,0.01,pumpswap,2,DEPTH<=10%,12847,3460,11512,8081,7975,2859,1514,6237,62.0767,BELOW_STOP_THRESHOLD,False,7.0265,-5.8926,20.6117,,5301,False,False,True,True,False
PD027,MEAN,0.01,pumpswap,2,DEPTH<=3%,12847,3460,11512,8081,7975,2859,1514,4454,62.0767,BELOW_STOP_THRESHOLD,False,6.9095,-5.7721,19.5977,,4745,False,False,True,False,False
PD028,MEAN,0.01,pumpswap,2,UNGATED,12847,3460,11512,8081,7975,2859,1514,7975,62.0767,BELOW_STOP_THRESHOLD,False,5.5621,-6.4141,18.6736,-22.2949,7708,False,False,True,True,False
PD029,MEAN,0.01,pumpswap,5,DEPTH<=1%,12847,3460,11501,8053,7954,2851,1514,3326,61.9133,BELOW_STOP_THRESHOLD,False,7.3711,-5.72,20.8965,,4785,False,False,True,False,False
PD030,MEAN,0.01,pumpswap,5,DEPTH<=10%,12847,3460,11501,8053,7954,2851,1514,6223,61.9133,BELOW_STOP_THRESHOLD,False,7.2716,-5.7853,20.6972,,5033,False,False,True,True,False
PD031,MEAN,0.01,pumpswap,5,DEPTH<=3%,12847,3460,11501,8053,7954,2851,1514,4445,61.9133,BELOW_STOP_THRESHOLD,False,7.247,-5.4612,20.2397,,4431,False,False,True,True,False
PD032,MEAN,0.01,pumpswap,5,UNGATED,12847,3460,11501,8053,7954,2851,1514,7954,61.9133,BELOW_STOP_THRESHOLD,False,5.6545,-6.6958,19.0565,-22.2234,7554,False,False,True,True,False
PD033,MEAN,0.01,pumpswap,15,DEPTH<=1%,12847,3460,11454,8030,7921,2842,1514,3314,61.6564,BELOW_STOP_THRESHOLD,False,4.8786,-7.522,17.3322,,6561,False,False,True,False,False
PD034,MEAN,0.01,pumpswap,15,DEPTH<=10%,12847,3460,11454,8030,7921,2842,1514,6198,61.6564,BELOW_STOP_THRESHOLD,False,5.9218,-6.7804,19.1299,,5972,False,False,True,True,False
