cell_id,rank_stat,top_fraction,lag_s,size_arm,followable,wallet_closed,paired,n,legs_per_position,mirrored_weight,closed_only_pct,closed_only_lo_pct,open_at_minus100_pct,paired_diff_pct,paired_diff_lo_pct,paired_diff_hi_pct,required_n,c1,c2,c3,c4,c5,copyable,wallet_first_sell_pct,wallet_realised_pct,first_to_realised_gap_pct
PE001,MEAN,0.001,2,CONVICTION_GATED,2053,909,366,83,0.868,0.96359,54.3741,-10.4837,,-5.8475,-13.4284,0.6625,709,False,False,True,False,False,False,76.0414,56.4224,-19.619
PE002,MEAN,0.001,2,CONVICTION_WEIGHTED,2053,909,366,92.11,0.868,0.96359,-13.7366,-22.2495,,0,0,0,,False,False,True,False,False,False,76.0414,56.4224,-19.619
PE003,MEAN,0.001,2,UNGATED,2053,909,366,366,0.868,0.96359,170.8995,-2.3312,-59.6774,-0.3644,-3.5877,3.4918,2360,False,False,True,False,False,False,76.0414,56.4224,-19.619
PE004,MEAN,0.001,15,CONVICTION_GATED,2053,909,356,78,0.868,0.96365,60.9954,-13.9202,,0.8664,-2.2105,4.8833,586,False,False,True,False,False,False,70.5725,49.5391,-21.0334
PE005,MEAN,0.001,15,CONVICTION_WEIGHTED,2053,909,356,84.22,0.868,0.96365,-19.9224,-31.3878,,0,0,0,,False,False,True,False,False,False,70.5725,49.5391,-21.0334
PE006,MEAN,0.001,15,UNGATED,2053,909,356,356,0.868,0.96365,18.6236,-6.7052,-59.8668,0.5743,-1.5464,3.6539,1990,False,False,True,False,False,False,70.5725,49.5391,-21.0334
PE007,MEAN,0.001,60,CONVICTION_GATED,2053,909,326,79,0.868,0.95883,71.7991,-8.6411,,-4.3035,-12.3292,0.6203,440,False,False,True,False,False,False,76.6962,60.2746,-16.4216
PE008,MEAN,0.001,60,CONVICTION_WEIGHTED,2053,909,326,85.29,0.868,0.95883,4.118,-16.2335,,0,0,0,,False,False,True,False,False,False,76.6962,60.2746,-16.4216
PE009,MEAN,0.001,60,UNGATED,2053,909,326,326,0.868,0.95883,25.1588,-4.276,-60.632,4.1674,-2.9107,15.311,1207,False,False,True,False,False,False,76.6962,60.2746,-16.4216
PE010,MEAN,0.01,2,CONVICTION_GATED,12847,8476,7317,3269,1.635,0.99352,-1.0327,-14.1166,,-0.9061,-1.47,-0.4094,192996,False,False,True,False,False,False,15.5316,6.8722,-8.6594
PE011,MEAN,0.01,2,CONVICTION_WEIGHTED,12847,8476,7317,2013.38,1.635,0.99352,-15.4692,-27.6646,,0,0,0,,False,False,True,False,False,False,15.5316,6.8722,-8.6594
PE012,MEAN,0.01,2,UNGATED,12847,8476,7317,7317,1.635,0.99352,10.3862,-9.4634,-30.2951,1.3015,-1.2495,6.294,38195,False,False,True,False,False,False,15.5316,6.8722,-8.6594
PE013,MEAN,0.01,15,CONVICTION_GATED,12847,8476,7262,3250,1.635,0.99356,-2.4173,-15.0868,,-0.6996,-1.1816,-0.2489,31610,False,False,True,False,False,False,14.9541,6.2957,-8.6583
PE014,MEAN,0.01,15,CONVICTION_WEIGHTED,12847,8476,7262,1992.91,1.635,0.99356,-16.641,-28.4762,,0,0,0,,False,False,True,False,False,False,14.9541,6.2957,-8.6583
PE015,MEAN,0.01,15,UNGATED,12847,8476,7262,7262,1.635,0.99356,-1.0508,-13.0117,-32.6912,-0.7183,-1.3241,-0.1568,141915,False,True,True,False,False,False,14.9541,6.2957,-8.6583
PE016,MEAN,0.01,60,CONVICTION_GATED,12847,8476,7086,3176,1.635,0.99275,-2.9036,-13.5231,,-0.6006,-1.1247,-0.0608,21145,False,False,True,False,False,False,16.8285,8.2484,-8.5802
PE017,MEAN,0.01,60,CONVICTION_WEIGHTED,12847,8476,7086,1890.65,1.635,0.99275,-15.8753,-25.5921,,0,0,0,,False,False,True,False,False,False,16.8285,8.2484,-8.5802
PE018,MEAN,0.01,60,UNGATED,12847,8476,7086,7086,1.635,0.99275,-1.7972,-12.9261,-34.2081,-0.8237,-1.7299,0.0187,46852,False,True,True,False,False,False,16.8285,8.2484,-8.5802
PE019,MEDIAN,0.001,2,CONVICTION_GATED,140,111,107,31,3.457,1.0,9.6508,-26.8342,,-2.9447,-8.4758,0.3727,1236,False,False,True,False,False,False,22.1482,18.6018,-3.5464
