trigger,venue_program,venue_name,kind,n,n_mints,n_days,as_reported_n,as_reported_mean,as_reported_lower,as_reported_upper,carry_forward_n,carry_forward_mean,carry_forward_lower,carry_forward_upper,residual_at_zero_mean,residual_lower,residual_upper,censored_fraction,cost_floor,cost_floor_pct,cost_floor_note,median_trades_per_mint,median_traders_per_mint,same_trade_fraction
T0,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,CURVE,2975,2975,3,409,-0.08258451038097388,-0.10584523965100923,-0.08054301020567828,520,-0.0800603972144183,-0.11882552645154491,-0.07566092858579355,-0.8738746436120393,-1,-0.8488343558536678,0.8625210084033613,FLAT_2_50_PCT,2.5,flat 2.50% curve fee  the figure the directive names,0,7,0.6652100840336135
T0,FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9,,UNKNOWN,1134,1134,3,233,-0.0557983943415858,-0.09620056642663374,-0.052004763159891096,294,-0.1009497619035313,-0.14468920982849914,-0.09597937009387582,-0.8059973773206253,-1,-0.7741353630347392,0.7945326278659612,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,0,17,0.5405643738977073
T0,6Vo3245eszAb5wuqEMw8mGdbfRUdKbHhDHP5LcaGuTAB,,UNKNOWN,879,879,3,154,-0.023520512103074025,-0.10508993531739326,-0.012040371058095762,178,-0.030720309231808688,-0.1096863343508709,-0.019002770020593,-0.8289216824389916,-1,-0.7886298733642519,0.8248009101251422,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,0,4,0.6427758816837316
T0,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,pumpswap,AMM,849,849,3,60,2.8462542845129613,0.29415397519455716,3.2966249273338555,73,2.8021852034074226,0.26248580169562297,3.5150832810809107,-0.728179909221699,-1,-0.6847080988575152,0.9293286219081273,PUMPSWAP_TIER_SCHEDULE,2.6693,PumpSwap schedule at 0.01 SOL  modal tier 0,3118,1222,0.02944640753828033
T0,FLUXubRmkEi2q6K3Y9kBPg9248ggaZVsoSFhtJHSrm1X,,UNKNOWN,183,183,3,18,5.573296030439734,5.204108736682426,5.595012930072517,28,5.3975163042433625,4.483034439046144,5.5072541280670295,-0.3534462920878949,-1,-0.22679158750873935,0.9016393442622951,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,283,21,0.00546448087431694
T0,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN,meteora dbc,LAUNCHPAD,164,164,3,4,0.023082037706076003,-0.002393790922073258,0.03157398058212576,6,0.0703807273066732,-0.11240232477435672,0.43594683146873303,-0.9750467795681446,-1,-0.9002393790922074,0.975609756097561,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,1288.5,227,0.04878048780487805
T0,cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG,meteora cpamm,AMM,297,297,3,6,0.5195930608571655,0.5195930608571655,0.5195930608571655,8,0.4727475893721209,0.4727475893721209,0.4727475893721209,-0.9693011502857138,-1,-0.964660626491694,0.9797979797979798,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,1551,235,0
T0,FAdo9NCw1ssek6Z6yeWzWjhLVsr8uiCwcWNUnKgzTnHe,,UNKNOWN,209,209,2,9,0.009038504979561823,0.0037392846524780623,0.019636945633729346,10,0.00796579794088038,0.0029638775010879686,0.019636945633729346,-0.9565485811252822,-0.9616405368922618,-0.9411747915980541,0.9569377990430622,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,0,6,0.6363636363636364
T0,J7pourVwqP1VtRNBiFNqbdGxwkx7ta2LHAURURRRJqmd,,UNKNOWN,117,117,2,13,0.005354276758600076,0.004073098054025642,0.007404162685919169,17,0.0051220426164908,0.004685868594450955,0.0054273644319186905,-0.8882939692490444,-0.9054990025360917,-0.8425930995803251,0.8888888888888888,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,0,1,0.9914529914529915
T0,GMGNreQcJFufBiCTLDBgKhYEfEe9B454UjpDr5CaSLA1,,UNKNOWN,3,3,2,0,,0,0,2,-0.003933939103405559,-0.007867878206811119,0,-1,-1,-1,1,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,0,24,0.6666666666666666
